"Model","Quartile","OR","Lower","Upper","P","P_trend"
"Unadjusted","Q1 (Ref)",1,NA,NA,NA,"0.07342"
"","Q2",0.993377483443705,0.776911260756973,1.27015641870279,0.95774254077944,""
"","Q3",0.825559928672427,0.640161291440068,1.06465230707163,0.139616182056519,""
"","Q4",0.832997750549405,0.646217630620502,1.07376403790484,0.158367273514246,""
"Adjusted: Demographics","Q1 (Ref)",1,NA,NA,NA,"0.004861"
"","Q2",1.2302057777822,0.933617924762408,1.62101242440674,0.141024973370458,""
"","Q3",1.29360992772341,0.970875216438616,1.72362690567287,0.0787235429965031,""
"","Q4",1.5359588345872,1.14400358726202,2.06220467122199,0.00430363342855437,""
"Fully Adjusted","Q1 (Ref)",1,NA,NA,NA,"0.005485"
"","Q2",1.27142673791338,0.955363135899997,1.69205393126062,0.0995900514814091,""
"","Q3",1.29744128643953,0.958872304025439,1.75555585941002,0.0914520970150456,""
"","Q4",1.60535881318857,1.16582828080584,2.21059735941629,0.00373141148114674,""
