"","level","Q1","Q2","Q3","Q4","P"
"n","","    972","    971","    971","    971",""
"Age..median..IQR..","","  62.00 [45.00, 71.00]","  61.00 [44.00, 70.00]","  58.00 [41.00, 67.00]","  51.00 [36.50, 63.00]","<0.001"
"Gender....","Female","    622 (64.0) ","    572 (58.9) ","    542 (55.8) ","    440 (45.3) ","<0.001"
"X","Male","    350 (36.0) ","    399 (41.1) ","    429 (44.2) ","    531 (54.7) ",""
"Race....","Mexican American","     61 ( 6.9) ","     47 ( 5.4) ","     64 ( 7.4) ","     67 ( 7.8) ","<0.001"
"X.1","Other Hispanic","    120 (13.6) ","     88 (10.1) ","     78 ( 9.0) ","     78 ( 9.1) ",""
"X.2","Non-Hispanic White","    553 (62.8) ","    630 (72.4) ","    635 (73.2) ","    645 (75.2) ",""
"X.3","Non-Hispanic Black","    147 (16.7) ","    105 (12.1) ","     91 (10.5) ","     68 ( 7.9) ",""
"Education....","< 9th grade","     59 ( 6.1) ","     21 ( 2.2) ","     25 ( 2.6) ","     24 ( 2.5) ","<0.001"
"X.4","9-11th grade","     95 ( 9.8) ","     60 ( 6.2) ","     55 ( 5.7) ","     45 ( 4.6) ",""
"X.5","High school/GED","    229 (23.6) ","    196 (20.2) ","    169 (17.4) ","    161 (16.6) ",""
"X.6","Some college","    287 (29.5) ","    303 (31.2) ","    290 (29.9) ","    309 (31.8) ",""
"X.7","College grad+","    302 (31.1) ","    391 (40.3) ","    432 (44.5) ","    432 (44.5) ",""
"BMI..median..IQR..","","  28.50 [24.80, 33.60]","  28.50 [25.00, 33.60]","  28.60 [24.90, 33.50]","  28.40 [24.50, 33.65]","0.908"
"Income_PIR..median..IQR..","","   2.40 [1.16, 4.41]","   3.00 [1.69, 5.00]","   3.26 [1.67, 5.00]","   3.56 [1.77, 5.00]","<0.001"
"Smoking....","No","    576 (59.3) ","    600 (61.8) ","    564 (58.1) ","    540 (55.6) ","0.048"
"X.8","Yes","    396 (40.7) ","    371 (38.2) ","    407 (41.9) ","    431 (44.4) ",""
"Energy_kcal..median..IQR..","","1537.00 [1112.50, 1948.25]","1784.00 [1362.00, 2286.00]","1959.00 [1472.00, 2573.00]","2260.00 [1681.00, 2998.00]","<0.001"
"Sugar_g..median..IQR..","","  69.72 [42.77, 105.96]","  81.77 [50.90, 120.00]","  82.29 [51.87, 127.27]","  92.63 [56.71, 145.06]","<0.001"
"HbA1c..median..IQR..","","   5.60 [5.30, 5.90]","   5.60 [5.30, 6.00]","   5.50 [5.30, 5.80]","   5.40 [5.20, 5.80]","<0.001"
"Diabetes....","No","    821 (84.5) ","    821 (84.6) ","    843 (86.8) ","    842 (86.7) ","0.258"
"X.9","Yes","    151 (15.5) ","    150 (15.4) ","    128 (13.2) ","    129 (13.3) ",""
